year|docket_number|facts_of_the_case|question
2014|13-193|Prior to the 2010 general election, Susan B. Anthony List (SBA List), a nonprofit, pro-life organization, announced that it intended to put up a billboard in the district of then-Congressman Steven Driehaus. The planned billboard would have asserted that Driehaus's vote in favor of the Affordable Care Act amounted to a vote in favor of taxpayer-funded abortion. Citing threats of legal action by Driehaus's counsel, the company that owned the billboard space refused to put up the ad. Driehaus filed a complaint with the Ohio Elections Commission alleging that SBA List violated Ohio's campaign laws by making false statements about his voting record. SBA List filed an action in federal district court arguing that the Ohio statutes infringed upon its rights to free speech and association under the First Amendment. Driehaus withdrew his complaint upon losing his bid for re-election and subsequently moved to Swaziland for an assignment with the Peace Corps. The district court dismissed the suit by SBA List for lack of standing and ripeness. The U.S. Court of Appeals for the Sixth Circuit affirmed.|(1) Did the U.S. Court of Appeals for the Sixth Circuit err in holding that the advertising company's rejection of the proposed billboard and the Commission's actions against SBA List do not demonstrate an imminent threat of future prosecution sufficient to establish ripeness under Article III?(2) Did the U.S. Court of Appeals for the Sixth Circuit err in holding that state laws prohibiting false political speech are not subject to pre-enforcement First Amendment review as long as the speaker maintains that the statements are factually true?
2014|12-1184|"ICON Health & Fitness, Inc. (ICON) manufactures and sells exercise equipment throughout the United States. In 2000, ICON obtained U.S. Patent No. 6,019,710 (the '710 patent) for a system designed to link parts in elliptical exercise machines. In 2010, ICON filed a complaint against another manufacturer and seller of exercise equipment, Octane Fitness (Octane), and claimed that Octane's elliptical design infringed upon the '710 patent.The federal district court held that Octane's design did not violate ICON's '710 patent. ICON appealed to the U.S. Court of Appeal for the Federal Circuit. Octane argued that ICON's lawsuit was not based on any real patent infringement, but instead aimed at hampering upstart competitors with expensive, frivolous lawsuits. Therefore, Octane asked the court to apply a patent law attorney fees statute, a statute that awards attorney fees when the plaintiff's suit is found to be ""exceptional."" The appellate court affirmed the lower court's decision, but found that ICON had not acted ""exceptionally"" under the statute."|"Did the appellate court's interpretation of ""exceptional"" under the attorney fees statute improperly raise the standard for accused patent infringers to recoup attorney fees and encourage potential plaintiffs to bring frivolous patent lawsuits that cause competitive harm?"
2014|12-9490|On August 23, 2008, the Mendocino County dispatch center received a call from a Humboldt County dispatcher with the information that a silver Ford F150 pickup truck had run an unidentified vehicle off the road at mile marker 88 on southbound Highway 1. The original caller had also provided the license plate number of the pickup truck in question. The dispatch center broadcast that information to officers in the area, and two separate officers soon reported seeing the vehicle and began following it. The officers pulled the vehicle over, and while requesting information from the driver, smelled marijuana. During a search of the vehicle, the officers found four large bags of marijuana in the truck bed. The occupants of the vehicle, Lorenzo Prado Navarette and Jose Prado Navarette, were arrested for transportation of marijuana and possession of marijuana for sale.At trial, the defendants moved to suppress the evidence obtained from the traffic stop and argued that the evidence did not establish a reasonable suspicion of wrongdoing to justify the stop. The state argued that the anonymous tip combined with the officers' observations of details that matched the tip constituted reasonable suspicion of the alleged reckless driving. The magistrate judge denied the motion. After the defendants petitioned for a review of this decision and were denied by both the California Court of Appeals for the First District, Division Five and the California Supreme Court, the defendants pled guilty. The California Court of Appeals for the First District, Division Five affirmed.|Does the Fourth Amendment require an officer who received information regarding drunken or reckless driving to independently corroborate the behavior before stopping the vehicle?
2013|12-929|In 2009 the U.S. Corps of Engineers contracted with Atlantic Marine Construction Company (Atlantic) to build a child development center at Fort Hood, a military base located in the western district of Texas. Atlantic then subcontracted with J-Crew Management, Inc. (J-Crew) to provide labor and materials. The subcontract agreement contained a forum selection clause stating that any dispute would be litigated in Circuit Court for the City of Norfolk, Virginia, or the U.S. District Court for the Eastern District of Virginia, Norfolk Division. Despite this clause, J-Crew brought suit against Atlantic in the U.S. District Court for the Western District of Texas for failure to pay for work J-Crew performed.Atlantic moved to dismiss the suit under Federal Rule of Civil Procedure 12(b)(3) and 28 U.S.C. §1406, arguing that the forum selection clause required the suit to be brought in Virginia. Atlantic also moved, in the alternative, to transfer the case to the Eastern District of Virginia under 28 U.S.C. §1404(a). The district court denied Atlantic's motions, holding that Atlantic did not show why the interest of justice or the convenience of the parties weighed in favor of Virginia. Atlantic petitioned the U.S. Court of Appeals for the Fifth Circuit for a writ of mandamus ordering the district court to dismiss the case or transfer it to Virginia. The court of appeals held that the district court did not abuse its discretion and venue was proper in the Texas court because the parties entered into and performed the agreement in that district.|Did the Supreme Court's decision in Stewart Organization, Inc. v. Ricoh Corp. limit review of forum selection clauses to a discretionary, balancing-of-conveniences analysis under 28 U.S.C. § 1404(a)If so, who has the burden of proof when a party seeks to enforce or avoid a forum selection clause?
2014|12-8561|Doyle R. Paroline pled guilty to possession of 150-300 images of child pornography. Included among those files on his computer were two photographs of Amy Unknown, a victim of child pornography. He was sentenced to 24 months of incarceration followed by release under supervision. Under a federal statute that mandates full restitution to victims of child pornography by those convicted of creating, distributing or possessing such material, the Government and Amy sought restitution in the amount of nearly $3.4 million. The district court denied restitution and held that the statute required the Government to prove that Paroline's possession of the images was the proximate cause of the injuries for which restitution was sought. The U.S. Court of Appeals for the Fifth Circuit reversed and held that Paroline was responsible for restitution for all the victim's losses even if his criminal acts occurred after the victim's losses.|To recover restitution, must either the government or the victim establish a causal relationship between the defendant's conduct and the victim's harm or damages?
2013|12-1163|The Patent Act allows a court to award reasonable attorneys fees in exceptional cases in which the lawsuit is objectively baseless and brought in bad faith. Allcare Management Systems, Inc. (Allcare) owns a patent that covers a computer-based method of generating treatment options based on symptom data entered by a physician. This process can help an insurance company determine whether to approve a particular treatment for a patient. In 2003, Highmark, Inc. (Highmark), a health insurance company, sought a declaratory judgment of non-infringement of Allcare's patent. Allcare filed a counterclaim and alleged that Highmark infringed on two sections of its patent. The federal district court awarded summary judgment in favor of Highmark. The court also found that Allcare had willfully pursued frivolous infringement claims and ordered it to pay Highmark's attorney's fees and costs. On appeal, the U.S. Court of Appeals for the Federal Circuit independently reviewed the district court's determination that Allcare's claims were objectively baseless. The appellate court affirmed the lower court's finding with respect to one of Allcare's claims and reversed the court regarding Allcare's second claim.|Did the appellate court apply an improper standard of review to the district court's determination that Allcare pursued objectively baseless claims against Highmark?
2014|12-417|"Workers at the United Steel Corporation brought a class action suit against the company arguing that the Fair Labor Standards Act required the company to compensate them for time spent changing into and out of work clothes and the transit time from the locker room to their work stations. The Act states that an employer does not need to compensate employees for time spent ""changing clothes."" United States Steel Corporation moved for summary judgment. The district court granted the motion as it relates to compensation for changing clothes but not in relation to compensation for transit time.The company appealed, and the U.S. Court of Appeals for the Seventh Circuit held that Act did not require the company to compensate the employees for either the time spent changing or the time spent in transit between the locker room and the work stations."|"Does changing into required safety gear constitute ""changing clothes"" under the Fair Labor Standards Act?"
2013|12-1038|The Department of the Air Force owns a section of land that Highway 1 crosses, and the Department has granted roadway easements to the State of California and Santa Barbara County. Highway 1 runs next to the main gate of Vandenberg Air Force Base (Vandenberg). Near the gate is a designated area for public protesting that falls under the Highway 1 easement.John D. Apel was barred from Vandenberg's property in 2007 for trespassing. In 2010, while the order barring him was still in effect, he entered the designated protest area three times and was asked to leave. On all three occasions the respondent failed to leave. In two separate trials, Apel was convicted of three violations of a federal statute prohibiting a person from reentering a military installation after a commanding officer has ordered him not to reenter. Apel appealed, arguing that the federal statute requires that the base has exclusive possession over the area. The district court affirmed the convictions by holding that, under the terms of the easement, the land is subject to base rules and regulations. The U.S. Court of Appeals for the Ninth Circuit reversed and held that, because the area is subject to an easement, the federal government does not have an exclusive right of possession, so the conviction cannot stand.|Can a federal statute be enforced on a portion of a military installation that is subject to a public roadway easement?
2014|12-10882|"Freddie Lee Hall was tried, convicted, and sentenced to death for the 1978 murder of Karol Hurst. Hall sought a writ of habeas corpus and a stay of execution in state court, which was denied. Hall then sought a writ of habeas corpus in federal court and was denied without an evidentiary hearing. Hall appealed to the U.S. Court of Appeals for the Eleventh Circuit, which reversed in part and remanded the case for a hearing regarding the potential effect of his absence from the courtroom during the trial and ineffective counsel. On remand, the district court again denied habeas corpus and held that Hall's absences from the courtroom were harmless and that he deliberately bypassed ineffective counsel claims. The Court of Appeals affirmed.Hall petitioned the Supreme Court of Florida for habeas corpus relief based on the Supreme Court decision in Hitchcock v. Dugger, which held that all mitigating factors should be considered rather than just the mitigating factors listed in the relevant statutes. The Supreme Court of Florida denied the petition and held that no error occurred in sentencing. After the governor signed his second death warrant, Hall filed a motion to vacate the sentence, which the trial court denied by holding that the Supreme Court of Florida's decision barred further review of the case. The Supreme Court of Florida disagreed and held that the case involved additional non-record facts that had not been considered in the previous review. The case was vacated and remanded for new sentencing. At the new sentencing trial, the trial court held that Hall's mental retardation was a mitigating factor with ""unquantifiable weight,"" and he was again sentenced to death. The Supreme Court of Florida affirmed.In 2002, the Supreme Court decided the case Atkins v. Virginia, in which the Court held that the execution of mentally retarded defendants constituted cruel and unusual punishment in violation of the Eighth Amendment. Hall filed a motion to declare certain sections of the Florida death penalty statute unconstitutional based on this decision and filed a claim to be exempt from the death penalty under that ruling. The trial court held a hearing to determine if Hall was eligible for such a claim and found that he was not because the first prong of the test—whether he had an IQ below 70—could not be met. The Supreme Court of Florida affirmed."|Does the Florida scheme for identifying mentally retarded defendants in capital punishment cases violate the standards established in Atkins v. Virginia?
2013|12-562|"In 1999, Gary Woods and Billy McCombs became investors in two partnerships. Those partnerships then transferred their assets to a corporation that was jointly owned by Woods and McCombs, which caused the partnerships to be considered liquidated for tax purposes. Because the value of a liquidated asset is equal to the partner's basis in the investment, the partnerships reported their losses on their tax reports as equal to the purchased options Woods' and McCombs' separate companies originally contributed to the partnerships. After conducting an audit, the Internal Revenue Service (IRS) determined that the partnership transactions served no business purpose and were solely for the purpose of tax avoidance. Therefore they had no legal basis and the IRS did not consider the partnerships valid. The IRS imposed accuracy-related penalties for understatements of income and gross valuation misstatements.In 2005, Woods (as the tax matters representative for the partnership) brought the matter before a district court and argued that penalties were inappropriate because the tax consequences of the transactions were accurately reported. The district court held that the transactions ""lacked economic substance"" and that their reported losses should be disregarded. The court also held that, because the transactions had no economic substance, the valuation misstatement penalties did not apply. The United States appealed the decision with regard to the valuation misstatement penalties, and the U.S. Court of Appeals for the Fifth Circuit affirmed the lower court's ruling."|Did the district court have jurisdiction to consider the applicability of the valuation misstatement penalty under the Internal Revenue Service Code?(1) Does the penalty for overstatement apply to situations in which the tax underpayment resulted from a transaction that was determined to lack economic substance?
2014|12-515|The Indian Gaming Regulatory Act (IGRA) provides that if certain requirements are met, including a compact between the state and the tribe, an Indian tribe can operate a casino on Indian lands. Under the Michigan Indian Land Claims Settlement Act, lands bought with funds from a congressionally established trust are Indian lands. On November 3, 2010, the Bay Mills Indian Community, a federally recognized Indian tribe with a reservation located in northern Michigan, opened a small casino in the town of Vanderbilt, Michigan, on lands purchased with funds from this trust. The state of Michigan sued for closure of the casino by claiming that the Bay Mills casino violated state gaming laws, as well as various provisions of its Tribal-State compact. The district court entered a preliminary injunction ordering Bay Mills to stop the gambling at the Vanderbilt casino. The U.S. Court of Appeals for the Sixth Circuit vacated the injunction and held that the district court lacked jurisdiction over some of the plaintiffs' claims, while Bay Mills' sovereign immunity bars the others.|Does a federal court have jurisdiction over activity that violates the IGRA, but takes place outside of Indian lands?In such a case, does tribal sovereign immunity prevent a state from suing in federal court?
2014|12-992|A collective bargaining agreement directed Ray Holuch Gravel, a landscape supply company, to remit contributions to several benefit funds affiliated with the Central Pension Fund, a labor union which represents landscape supply company employees. After conducting an audit of the company's books in 2009, the union sued for additional remittances of past unreported work. They also sued for attorney's fees. The district court ruled in favor of the labor union on both issues with respect to one employee, but ruled against them with respect to employees who could not be identified because the landscape supply company failed to keep the required records. The two decisions were announced separately and one week apart. The labor union appealed both rulings within thirty days of the second ruling, but more than thirty days after the first ruling. The U.S. Court of Appeals for the First Circuit held that the appeal was timely because the attorney's fees are a merits issue, so the first decision was not final until the lower court had decided both cases.|"Is a district court's decision on the merits, which fails to resolve a request for contractual attorney's fees, a ""final decision"" for the purposes of appeal?"
2014|12-5196|On January 5, 2004, Stephen Law filed for bankruptcy. He claimed that there were two liens on his property consuming all of the property's value beyond a homestead exemption. A homestead exemption protects equity in a house when filing for bankruptcy. One of these liens turned out to be a fictional construction involving a woman in China. Alfred Siegel (the Trustee) claimed that, in exposing the false lien, he incurred $465,000 in attorney fees. Because these costs resulted from Law's misconduct and misrepresentation, the Bankruptcy Court added a surcharge equal to the full amount of Law's homestead exemption to offset the Trustee's costs.Law appealed the decision to the Appellate Panel for the Ninth Circuit (BAP). Under the Bankruptcy Act of 1978, federal appeals courts may may create panels of judges to hear appeals from Bankruptcy Court. The BAP affirmed the order and held that the surcharge was necessary to protect the Bankruptcy Court's integrity. Law appealed to the U.S. Court of Appeals for the Ninth Circuit, which affirmed the BAP decision.|When a debtor creates fictional liens to prevent a trustee from selling a property, should a Bankruptcy Court allow a surcharge to extend to normally exempted homestead property?
2013|12-1117|At midnight on July 18, 2004, West Memphis Police Officer Forthman pulled over Donald Rickard's vehicle because of an inoperable headlight. After Officer Forthman noticed damage on the vehicle and asked Rickard to step out of the car, Rickard sped away. Officer Forthman called for backup and pursued Rickard from West Memphis, Arkansas to Memphis, Tennessee. The police officers were ordered to continue the pursuit across the border and ultimately surrounded Rickard in a parking lot in Memphis, Tennessee. When Rickard again attempted to flee, the police fired shots into the vehicle, ultimately killing both Rickard and Kelley Allen, a woman who had been a passenger in the vehicle. The entire exchange was captured on police video.Rickard and Allen's families sued the police officers, the chief of police, and the mayor of West Memphis under federal and state law claims. The families argued that the police used excessive force when pursuing and ultimately killing Rickard and Allen and that using that force violated the Fourth Amendment. They also brought claims of assault, battery, malicious prosecution, intentional infliction of emotional distress, false imprisonment, and abuse of process. The government argued that, because the police acted in their official capacity, they were entitled to either absolute or qualified immunity from any lawsuit. The district court refused to dismiss the case against the government, and the U.S. Court of Appeals for the Sixth Circuit affirmed the decision of the trial court. The Court of Appeals held that qualified immunity only applies when officers are acting reasonably, and after reviewing subsequent cases, held that the police did not act reasonably in this case. Additionally, because the video evidence showed that the police fired on unarmed, fleeing drivers, a jury could determine that the police were not acting reasonably.|1. Did the Sixth Circuit err when it looked at whether subsequent case law supported the police's actions rather than determining if the police's actions were prohibited in 2004?2. Did the Sixth Circuit properly dismiss the police's qualified immunity defense by finding that the police acted unreasonably?
2014|12-138|"In the early 1990s, BG Group PLC (BG), a British company, made a major investment in Argentina's natural gas industry. Later, in the midst of an economic crisis, Argentina enacted an emergency law that required investors to collect tariff revenues in Argentinian pesos at a rate of one peso per dollar. Given the weak international peso-to-dollar exchange rate, these changes that made it difficult for BG to see a return on its investment. Simultaneously, Argentina adopted legislation that stayed all lawsuits arising from the emergency measures. . BG sought recourse under a bilateral investment treaty (Treaty) between the United Kingdom and Argentina. The Treaty required that BG first attempt to resolve its dispute before a ""competent tribunal"" in Argentina for at least eighteen months. Instead, BG bypassed the Argentinian courts and submitted its dispute directly to an arbitral tribunal. The arbitral panel, seated in Washington, D.C., held that Argentina's changes to its judicial system excused the eighteen-month precondition to arbitration and awarded BG over US$185 million in damages. Argentina petitioned the district court to vacate the award under the Federal Arbitration Act by arguing that the arbitral panel exceeded its powers. The court denied the petition. The U.S. Court of Appeals, District of Columbia Circuit reversed and held that the determination of whether BG could submit its dispute directly to arbitration must be made by a court, not the arbitral tribunal."|Is it the role of a court to decide whether a precondition to arbitration has been satisfied?
2013|11-1507|"The Gardens is a low-income neighborhood in the Township of Mount Holly, New Jersey. African American and Hispanic residents made up most of the occupants of the neighborhood's 329 homes. Problems relating to crowding, vacant properties, and crime have long plagued the Gardens. Shortly after designating the area ""in need of development"" in 2000, the Township began acquiring properties and instituted a series of redevelopment plans over the next several years. Each plan called for the demolition of most, if not all, of the original homes in the neighborhood and the construction of new, more expensive homes in their place. The number and type of affordable-housing units available to existing Gardens residents varied in each plan.In 2003, Citizens in Action sued the Township in state court and alleged violations of New Jersey redevelopment and antidiscrimination laws. The court dismissed some of their claims and granted summary judgment in favor of the Township on other claims. Mt. Holly Gardens Citizens in Action and a number of current and former Gardens residents sued in federal court in 2008 and argued that the Township's actions violated the Fair Housing Act (FHA) and other federal antidiscrimination laws. The FHA makes it unlawful to ""refuse to sell or rent . . . or otherwise make unavailable or deny, a dwelling to any person because of race, color, religion, sex, familial status, or national origin."" The court granted summary judgment in favor of the Township by ruling that the plaintiffs had failed to show that the plans had a racially disparate impact under the FHA. The U.S. Court of Appeals for the Third Circuit reversed and held that the plaintiffs had indeed presented a prima facie case of discrimination and that material questions of fact relating to less discriminatory alternatives available to the Township remained open."|Did the Township's redevelopment plans have a racially disparate impact in violation of the Fair Housing Act?If so, does the burden then shift to the Township to show that there were no less discriminatory alternatives available?
2013|12-1217|In the early hours of the morning on May 27, 2008, Officer Mike Stanton and his partner responded to a reported disturbance involving a person with a baseball bat in La Mesa, California. When the officers arrived at the location, they observed three men walking along the street, two of whom promptly turned into a nearby apartment complex while the third crossed the street in front of the police vehicle. Although he did not see a baseball bat, Stanton considered the behavior of this third man to be suspicious and ordered him to stop. The man continued walking into the residence and closed a gate behind him. With the gate closed, Stanton's view was blocked, and believing that the man had committed a jailable offense by refusing to stop, he decided to forcibly open the gate. Unbeknownst to Stanton, the residence's owner, Drendolyn Sims was standing behind the gate and was injured when Stanton opened it.Sims sued Stanton in federal district court and argued that he had unreasonably searched her home without a warrant in violation of the Fourth Amendment. The district court granted summary judgment to Stanton and held that Stanton's entry was justified by the potential danger of the situation, Sims had a lesser expectation of privacy in the curtilage—surrounding area—of her home, and Stanton was entitled to qualified immunity. The U.S. Court of Appeals for the Ninth Circuit reversed and held that Stanton's actions were unconstitutional because Sims was entitled to the same expectation of privacy in the curtilage of her home as she was in her home itself. The Court of Appeals also held that Stanton's warrantless entry was not justified because the man was only suspected of a misdemeanor and that Stanton was not entitled to qualified immunity.|Is a police officer who commits a warrantless entry of the curtilage of a private residence entitled to qualified immunity?
2013|12-1094|"In 2011, the Oklahoma state legislature passed a bill that restricts the use of abortion-inducing drugs to the uses described on their Federal Drug Administration (FDA) labels. The law criminalizes the use of these drugs in alternative combinations, known as ""off-label uses,"" that have been found to produce safer, less costly abortions. Before the law took effect, the Oklahoma Coalition for Reproductive Justice and Nova Health Systems sued the state in state district court and sought an injunction to prohibit enforcement of the law. They argued that the law effectively banned abortions in violation of both the state and federal constitutions. The state district court held the law unconstitutional and the state officials appealed to the Oklahoma Supreme Court. The Oklahoma Supreme Court held that the state law conflicted with Supreme Court rulings that protected a woman's right to seek an abortion and was therefore unconstitutional."|Did the Oklahoma Supreme Court err in holding that the state law restricting the administration of abortion-inducing drugs to the uses described on their FDA labels conflicts with Supreme Court rulings that protect a woman's constitutional right to seek an abortion?
2014|12-1146|After the 2007 Supreme Court decision in Massachusetts v. EPA that determined that air pollution was subject to Environmental Protection Agency (EPA) regulation under the Clean Air Act, the EPA set out a series of standards governing greenhouse gas emissions. One of these benchmarks set emission standards for vehicles, while another one required stationary sources of greenhouse gases to obtain constructing and operating permits from the EPA. The petitioners, who include various state and industry groups, challenged these rules on the grounds that they were based on an improper construction of the Clean Air Act and are arbitrary and capricious because they are based on an inadequate scientific record. The U.S. Court of Appeals for the Federal Circuit dismissed the challenges.|Did the EPA permissibly determine that its regulation of greenhouse gas emissions from new motor vehicles under the Clean Air Act also triggered permit requirements for stationary sources of greenhouse gas emissions?
2014|12-9012|"Benjamin Robers was involved in a mortgage fraud scheme. His role was to pose as a legitimate buyer of houses, make fraudulent loan applications⎯by misrepresenting his income and his intention to live in the house and repay the mortgage⎯then allow the loan to default by not paying it. Eventually, the bank foreclosed on the houses and then sold them to pay back the lenders. Robers was able to secure two houses under this guise.After government officials discovered the scheme but prior to indictment, Robers pled guilty to one count of conspiracy to commit wire fraud because the funds for the fraudulent loans were disbursed electronically (wired) by lenders. A federal district court sentenced him to three years of probation and ordered him to pay restitution pursuant to the Mandatory Victims Restitution Act (MVRA) in the amount of $218,952.18 for both incidents. The amount was calculated by finding the difference between each loan and the resale amount of each house that was foreclosed (the offset value). Robers appealed the restitution award and argued that the wrong offset value was used in the calculation; instead, the fair market price at the time of foreclosure should have been used. The U.S. Court of Appeals for the Seventh Circuit affirmed the district court's holding in part, vacated attorney fees and ""other expenses"" from the restitution sum, and remanded the case back to the district court to draw a new order with the corrected sum."|"Does a defendant who has fraudulently obtained a loan and thus owes restitution for the loan under the Mandatory Victims Restitution Act (MVRA) return ""any part "" of the loan money by surrendering title to a house that has fallen under foreclosure?"
2014|13-461|"Aereo, Inc. (Aereo) provides a service that allows its subscribers to watch programs that are currently airing on network television or record programs that will air in the future over the Internet. By allowing subscribers to watch live television as well as record and watch shows on Internet-enabled devices including mobile phones, Aereo serves three functions: that of a regular television antenna, a recording device, and an application that makes these services work on devices other than televisions and computers. Aereo is currently only available to subscribers in the New York City area and offers only New York City local channels. Aereo does not have a license from the copyright holders of the programs to record or transmit their programs.Two groups of plaintiffs filed separate copyright infringement suits against Aereo and moved for a preliminary injunction to prevent Aereo from transmitting programs to its subscribers while the programs were still being broadcast. The plaintiffs claimed that the transmission of the programs violated their right to ""publicly perform"" their copyrighted works. The district court denied the motion and held that Aereo's system was not substantially different from another that had been determined non-violative of the rights of copyright holders and that, while the injunction might prevent harm for the plaintiffs' businesses, it would irreparably harm Aereo's. The U.S. Court of Appeals for the Second Circuit affirmed the lower court's ruling to deny the motion."|"Does a company ""publicly perform"" a copyrighted television program when it transmits the program to paid subscribers over the Internet?"
2014|12-1036|On March 25, 2011, the State of Mississippi sued a group of liquid crystal display (LCD) manufacturers and claimed that they harmed consumers by engaging in a conspiracy to fix prices for LCD panels, which artificially inflated prices. On June 9, 2011, the respondents jointly removed the case from the Chancery Court of Hinds County to the federal district court and asserted federal jurisdiction was satisfied under the Class Action Fairness Act (CAFA). Class action and mass action suits can be properly removed to federal court under the CAFA.The State of Mississippi moved to remand the case to state court because the claims in the suit were asserted on behalf of the general public, which prevented the case from falling under federal jurisdiction. The district court granted the motion. The respondents appealed to the United States Court of Appeals of Fifth Circuit, which reversed the lower court's decision. The appellate court held that the suit qualified as a mass action under the CAFA and that Mississippi brought the case in the interest of individual citizens, so the general public exception was not applicable.|Was the case properly removed to federal district court as a mass action under the Class Action Fairness Act (CAFA)?
2013|12-761|Pom Wonderful, LLC (Pom Wonderful), a California-based beverage company, sold various types of juice, including a pomegranate blueberry juice blend. In 2007, Coca-Cola Company (Coca-Cola) announced its own version of a pomegranate blueberry juice. In 2008, Pom Wonderful sued Coca-Cola in federal district court and argued that Coca-Cola misled consumers into believing that Coca-Cola's product contained pomegranate and blueberry juices when it actually contained 99% apple and grape juices and only 0.5% pomegranate and blueberry juice. Specifically, Pom Wonderful claimed that Coca-Cola violated provisions of the Lanham Act, a federal law prohibiting false advertising, as well as California's false advertising and unfair competition laws. The lawsuit challenged the name, labeling, marketing, and advertising of Coca-Cola's product.The district court held that Pom Wonderful's claims regarding the name and label of the juice were barred by a separate law, the Food, Drug and Cosmetics Act (FDCA). The FDCA allows the Food and Drug Administration (FDA) to regulate the labels on, among other items, juices. Because the FDA has exclusive authority to file claims for violations of the FDCA, the court feared that a decision under the Lanham Act would undercut the FDA's authority to regulate juice labels. After both parties gathered evidence, the court granted summary judgment in favor of Coca-Cola on the name and label issues. Although the court gave Pom Wonderful the opportunity to proceed to trial on the remaining issues, Pom Wonderful conceded that it could not win without the name and label issues. Pom Wonderful appealed.The U.S. Court of Appeals for the Ninth Circuit affirmed the lower court's decision to bar Pom Wonderful's claim with respect to the name and labeling of Coca-Cola's juice. It vacated the lower court's ruling in favor of Coca-Cola, instead allowing Pom Wonderful's case to proceed on the remaining claims.|Did the U.S. Court of Appeals err when it held that FDA regulations barred Pom Wonderful's claim for false advertising under the Lanham Act?
2014|13-301|The Internal Revenue Service (IRS) served five summonses to top officers of the Dynamo Holdings Limited Partnership (Dynamo) during its investigation into the company's tax liabilities. The United States District Court for the Southern District of Florida granted enforcement of the summonses. Dynamo opposed the summonses by arguing that it was entitled to a hearing to determine whether the summonses were proper. On appeal, the U.S. Court of Appeals for the Eleventh Circuit vacated the decision that allowed the summonses to be enforced and remanded the case back to the district court for a hearing on whether the investigation was launched under an improper purpose, which would render enforcement of the summonses unlawful.|Does an allegation that the Internal Revenue Service (IRS) issued a summons for an improper purpose entitle an opponent of the summons to a hearing to question IRS officials about their reasons for issuing the summons before the court allows the summonses to be enforced?
2014|13-551|"In the early morning hours of New Year's Eve 2008, Jeffrey Cotton, a police officer, fired three shots at Robert Tolan in front of Tolan's parents' home in Bellaire, Texas. Cotton mistakenly believed that Tolan and his cousin, Anthony Cooper, had stolen a black Nissan, because another officer had incorrectly entered the license plate number of Tolan's black Nissan Xterra. One bullet hit Tolan, collapsed his right lung, and pierced his liver. Tolan sued Cotton in district court and argued that he had used excessive force in violation of the Fourth Amendment. Cotton filed a motion for summary judgment and argued that he was entitled to qualified immunity, which protects government officials from litigation when their conduct has not violated a clearly established right. The district court ruled in favor of Cotton and found that Cotton's use of force was not unreasonable and did not violate the Fourth Amendment.The U.S. Court of Appeals for the Fifth Circuit affirmed but declined to adopt the lower court's reasoning. Instead, the Court of Appeals held that Cotton was entitled to qualified immunity regardless of whether he violated the Fourth Amendment because he did not violate a ""clearly established"" right. In support of its ruling, the Court of Appeals cited evidence that would lead a reasonable officer in Cotton's position to believe that Tolan presented an immediate threat to his safety."|"Should a court consider the factual reasonableness of the search or seizure when applying the ""clearly established right"" prong of the qualified immunity test in Fourth Amendment cases?"
2014|12-462|S. Binyomin Ginsberg became a member of the Northwest Airlines frequent flyer program in 1999 and obtained Premium Elite Status in 2005. In 2008, his membership was terminated, as per the terms of the program that allow Northwest Airlines discretion over the removal of participants. In January 2009, Ginsberg sued Northwest Airlines and argued that, by terminating his membership in the frequent flyer program, the company breached both the contractual agreement and the implied doctrine of good faith and fair dealing under Minnesota law.At trial in district court, the defense argued that Ginsberg's claims were preempted by the Airline Deregulation Act of 1978 (ADA), which prohibits states from enacting or enforcing regulation over the price, route, or service of an air carrier. The district court found in favor of Northwest Airlines. The U.S. Court of Appeals for the Ninth Circuit reversed and held that the ADA did not preempt the claims because the claims were unrelated to the price, route, or services of the air carrier.|Are claims arising from a frequent flyer program contract preempted by the Airline Deregulation Act as dealing with the price, route, or service of an air carrier?
2014|13-369|"Biosig Instruments, Inc. (Biosig) holds the '753 Patent, which refers to a heart rate monitor associated with exercise equipment and procedures. Biosig sued Nautilus, Inc. (Nautilus) in federal district court and alleged that Nautilus infringed on several claims of the patent. Nautilus moved for summary judgment on two issues: whether there was infringement, and whether the patent was invalid due to its vagueness. The district court denied Nautilus' motion as far as the issue of infringement due to lack of discovery and granted the motion as it related to the patent's invalidity because of its vagueness. Biosig appealed and the U.S. Court of Appeals for the Federal Circuit reversed. The Court of Appeals held that a patent claim could only be considered legally indefinite when it is ""insolubly ambiguous,"" or not possible for a person of ordinary skill in the area to understand and resolve."|"(1) Does the U.S. Court of Appeals for the Federal Circuit's standard of whether a patent claim is ""insolubly ambiguous"" defeat the purpose of the statutory requirement for patents to be particular and distinct?(2) Does the presumption of patent validity dilute the statutory requirement for patents to be particular and distinct?"
